课程：计算机网络
来源ID：source_05e11028da
切片数：1431
转写字符数：1298239
课程名称：计算机网络
录播ID：29169
学年：2025-2026
学期：春季
来源URL：https://course.ynu.edu.cn/learn/videoreview/2cb25efa8cb34dfa97767a0e2c986b15?id=29169&schoolYear=2025-2026&semester=春季

===== 课堂语音转写 =====

--- 1 / 5 / 00:00:35 - 00:03:26 ---
[00:00:35] 签个到，
[00:00:38] 我们以后考清华主要以与课堂签到为主，
[00:00:41] 然后插个三到四次的这个课堂点名。
[00:01:53] 好，
[00:01:53] 我们开始这个这这个计算机网络这个课程的这个学习。
[00:02:01] 这PPT大家看清楚吧，
[00:02:07] 好，
[00:02:09] 那我们计算机网络这些课程的话，
[00:02:11] 是这个我们学院基本上每个专业的这个必修课程，
[00:02:16] 那也是这个计算机相关专业四零八的这个考试的科目，
[00:02:22] 所以话在计算机的这个课程体系里边的话，
[00:02:26] 是一个比较重要的这个课程，
[00:02:29] 那我们学习计算机技术，
[00:02:30] 我们知道现在计算机技术的话，
[00:02:33] 它每一个战机术基本都是有联网的这个需求，
[00:02:36] 都需要接入到互联网里边，
[00:02:38] 然后才能发挥出它自己的作用，
[00:02:40] 所以对于计算机网络而言的话，
[00:02:42] 它是很多的这个计算机相关技术的这样一个基础，
[00:02:47] 所以我们有必要对于这样一个基础性的学科的话，
[00:02:50] 做一下深入这样一个学习，
[00:02:53] 那现在的话，
[00:02:54] 计算机的技术的话，
[00:02:55] 有很多的这个领域都涉及到计算机网络，
[00:03:00] 那我们这个课程学习的话，
[00:03:01] 我。
[00:03:01] 那的课时有限，
[00:03:02] 所以我们针对的是主要是计算机网络的基础知识来给大家做一个介绍，
[00:03:09] 那我们这个里边讲授的话是计算机的这样一些基础的理论，
[00:03:15] 基础的体系，
[00:03:16] 及它的基本的计算机网络这样一些协议，
[00:03:19] 那这个协议的话，
[00:03:20] 构成了当前的计算机网络的核心，
[00:03:23] 以及它体系里边这样一个基石，

--- 1 / 5 / 00:03:26 - 00:04:54 ---
[00:03:26] 那我们掌握了这样一些技术以后，
[00:03:28] 我们就可以用这样的技术在之上的话做进一步的这样一些这个延伸以及进一步的进阶的这样一些学习，
[00:03:37] 好那我们看一下，
[00:03:39] 那这门课程的话，
[00:03:40] 我们主要采取是课堂讲授，
[00:03:42] 然后课后每一章的话，
[00:03:44] 有课后的作业练习，
[00:03:45] 来帮助他家巩固相关的知识点，
[00:03:48] 而然后我们这个课的话，
[00:03:50] 在课内的话，
[00:03:51] 包含了十八个学习式的这个试验的这样一个学时，
[00:03:55] 所以总共的话是七十二个学时，
[00:03:58] 那我们这个上课的这个课时的话三个。
[00:04:01] 其实所以话我们单周有两个绝石，
[00:04:05] 双周有三个绝士，
[00:04:06] 所以大家不要忘了下周二的话，
[00:04:09] 还需要来这个教室里边，
[00:04:11] 再来上一次这个计算机网络这个客三好，
[00:04:16] 那我们十八学时课时这个试卷的话，
[00:04:19] 我们在这个第一章讲完，
[00:04:20] 进入到第二章以后，
[00:04:22] 在第五周左右的话，
[00:04:23] 开始相关的这个试验的这样一个练习，
[00:04:27] 那试验环节的话，
[00:04:29] 是帮助大家通过具体的这样一些试验内容的话，
[00:04:33] 来动手实践一下对应的计算机网络，
[00:04:36] 直观的体会一下计算机网络这个细节，
[00:04:40] 那我们在课上讲了理论，
[00:04:41] 那非常空，
[00:04:42] 那大家通过试验的话，
[00:04:44] 希望能够加深一下相关的这个这个认识，
[00:04:48] 那我们最终的话，
[00:04:49] 整门课程的成绩构成的话，
[00:04:51] 就是这样几块构程，
[00:04:53] 那我们首先的话，

--- 1 / 5 / 00:04:54 - 00:06:22 ---
[00:04:54] 我们这门作为一门理论课程的话，
[00:04:56] 有期中考试，
[00:04:57] 有期末考试，
[00:05:00] 期中考试的话占比。
[00:05:01] 占到百分之十，
[00:05:03] 期末考试占比百分之六十，
[00:05:06] 然后的话，
[00:05:07] 这个平时成绩的话，
[00:05:08] 占了百分之这个百分之这个十，
[00:05:12] 然后的话还有试验，
[00:05:14] 试验的话会占到百分之十到百分之二十左右，
[00:05:17] 到时候我们会做一些调整好，
[00:05:19] 那就是整一个课程的这样一个基本的情况，
[00:05:23] 那作为这个计算机网络而言的话，
[00:05:25] 它里边涵盖内容非常多，
[00:05:27] 已经深入到计算机技术的方方面面的，
[00:05:31] 希望我们学习哪个方面的，
[00:05:32] 这个计算机的相关技术都涉及到网络的这个相关的部分内容，
[00:05:38] 那我们学习这个，
[00:05:40] 所以的话，
[00:05:40] 我们需要系统的对计算机网络有一个清晰的认识，
[00:05:44] 那后续的话，
[00:05:45] 在不同领域里边需要使用网络的话，
[00:05:48] 我们都能够更好的上手，
[00:05:51] 然后也能够更好的对这网络化进行对应的这样一个配置和使用，
[00:05:55] 那我们这门课程的话，
[00:05:57] 我们首先的话先从骨干来看，
[00:05:59] 我们先给大家介绍一下计算机网络。
[00:06:01] 的体系结构，
[00:06:03] 让大家了解一下整一个计算机网络在大的抽象的这样一个层级上的话，
[00:06:08] 是由哪些层次的话来构成的，
[00:06:10] 然后我们在这个计算机网络的这个发展过程里边，
[00:06:14] 诞生了很多的网络协议，
[00:06:16] 帮助我们让现机网络的话能够这个正常的运转，
[00:06:20] 那在这过程里面的话，

--- 1 / 5 / 00:06:22 - 00:07:51 ---
[00:06:22] 我们需要抓住一个主体，
[00:06:24] 这个主体的话就是TC pip协议作为核心，
[00:06:28] 然后以这两个协议作为基础以后的话来延伸出我们当前的互联网的这样一些体系结构，
[00:06:36] 所以的话，
[00:06:37] 我们会后面会看到计算机网络的体系结构化，
[00:06:40] 在发展过程里边出现了七层结构，
[00:06:42] 出现了TC pip的五层结构，
[00:06:45] 还有DCBIP的四层结构，
[00:06:47] 那在这样一个众多体系结构里边，
[00:06:49] 我们重点是掌握TC pip的这样一个四层体系结构，
[00:06:54] 好，
[00:06:55] 那接下来的话，
[00:06:56] 我们先来了解一下计算机网络的这个协议的概念，
[00:06:59] 协议的层次，
[00:07:00] 以及各个层次这样一些。
[00:07:01] 些主要的协议，
[00:07:03] 那我们在后边学计算机网络，
[00:07:05] 我们会看到我们会把计算机网络按照分层的结构的话，
[00:07:10] 把它拆解出来，
[00:07:11] 然后逐层来加以学习，
[00:07:13] 那在这个学习的过程里边，
[00:07:15] 我们会发现每一个层级的计算机网络，
[00:07:17] 它的最核心的知识点的话，
[00:07:19] 一定是在这个层级里边最主要的这样一些，
[00:07:24] 互联网的标准协议，
[00:07:26] 那互联网标准协议你认识清楚了，
[00:07:28] 那这个层次它主要起到的作用，
[00:07:31] 它所在整一个计算机网络里边所提供的这样一些支持的话，
[00:07:36] 你就非常清楚了，
[00:07:38] 所以话我们掌握计算机网络，
[00:07:41] 落到具体的这样一个实数的话，
[00:07:44] 就掌握在计算机网络每个层次里边最为核心的这部分计算机网络协议，
[00:07:50] 所以我们在后边第二章，
[00:07:51] 第三章，

--- 1 / 5 / 00:07:51 - 00:09:15 ---
[00:07:51] 第四章第五章里边，
[00:07:53] 我们会看到在每一章里边最重点的内容一定是，
[00:07:57] 最核心的这几个网络的协议。
[00:08:00] 所以啊，
[00:08:01] 大家在这。
[00:08:01] 这个第一章的话，
[00:08:02] 要对于计算机网络协议有一个清晰的认识，
[00:08:05] 知道协议的层次，
[00:08:07] 还有各个协议里边，
[00:08:08] 各个层次里边最主要用到的网络协议，
[00:08:12] 好然后的话，
[00:08:13] 我们在这个第一章的话也会给大家介绍一下主要的这样一些网络传输介质，
[00:08:18] 那你的网络的设备要连入到互联网目标，
[00:08:22] 那一定是要对应的传输介质的，
[00:08:24] 然后的话再进行对应的数据传输过程，
[00:08:27] 里边涉及到一些对应的通信技术，
[00:08:30] 那它对应的数据交换的主要类型和主要原理，
[00:08:33] 大家需要有所了解。
[00:08:35] 好那前面的话是对于计算机网络这样一些基本的概念，
[00:08:40] 还有它体系的一个这个介绍，
[00:08:42] 那我们主要是在第一章里边给大家做这个介绍，
[00:08:45] 那后边的话我们掌握了TCBI，
[00:08:47] 掌握了计算机网络的五层的体系结构以后，
[00:08:51] 我们就逐层的来进行对应的学习，
[00:08:54] 那因为计算机网络随着它近几十年的发展以后的话，
[00:08:58] 它里边涵盖的内容非常多，
[00:09:00] 技术点也非常多。
[00:09:02] 那我们，
[00:09:03] 要针对这样一个复杂系统而言的话，
[00:09:06] 大家学习这个技术，
[00:09:07] 学习这个软件工程都知道，
[00:09:10] 我们遇到一个复杂系统，
[00:09:11] 一定是要把它分解出来，
[00:09:13] 然后把它形成一个分层的结构，

--- 1 / 5 / 00:09:15 - 00:10:45 ---
[00:09:15] 然后逐层的来对它做相应的实现，
[00:09:18] 最终的话把一个复杂系统的话给它这个构建出来，
[00:09:22] 那计算机网络的学习也是一样的，
[00:09:24] 那我们对于这样一个复杂的计算机网络的这样一个体系而言，
[00:09:28] 那我们也通过分层的方式，
[00:09:30] 把一个复杂的功能的话，
[00:09:32] 可分解做每个层次的功能，
[00:09:34] 然后层次和层次之间的话有互相通信，
[00:09:37] 然后互相支持，
[00:09:38] 那最终的话构建出一个复杂的计算机网络的这样一个体系结构出来，
[00:09:43] 所以说我们在第一章里边，
[00:09:44] 我们在最后的话会这个重点讲到计算机网络的这样一个体系结构和它的分层的协议结构，
[00:09:52] 然后的话，
[00:09:52] 我们在后边四个章节里边就重点来学习一下对应的，
[00:09:58] 每个层次里边，
[00:09:59] 主要的这样一些这个计算机。
[00:10:02] 网络这样一些技术和典型的这个协议，
[00:10:05] 好，
[00:10:05] 那我们看到第一第一层次的话，
[00:10:07] 我们这个课程的话，
[00:10:09] 我们采用的教材的话，
[00:10:11] 大家会看到后边画是计算机网络置顶向下方法的这样一个教材，
[00:10:17] 所以的话，
[00:10:17] 我们整一个模型的分层的话，
[00:10:20] 它有分个多个层次，
[00:10:22] 那学习的顺序的话，
[00:10:24] 可以从底往上，
[00:10:26] 然后从顶往下，
[00:10:27] 有两种不同的这一个学习方式，
[00:10:30] 那我们这个教材的话，
